filename,gpt_status,qwen_status,gpt_vs_qwen__invoice_no,gpt_vs_qwen__date_of_issue,gpt_vs_qwen__seller_name,gpt_vs_qwen__seller_address,gpt_vs_qwen__seller_tax_id,gpt_vs_qwen__seller_gstin,gpt_vs_qwen__client_name,gpt_vs_qwen__client_address,gpt_vs_qwen__client_tax_id,gpt_vs_qwen__vat_pct,gpt_vs_qwen__net_worth,gpt_vs_qwen__vat_amount,gpt_vs_qwen__gross_worth,gpt_vs_qwen__total_net_worth,gpt_vs_qwen__total_vat,gpt_vs_qwen__total_gross_worth,gpt_vs_qwen__item_count_match,gpt_vs_qwen__item_field_match_rate,gpt_vs_qwen__scalar_match_rate,gpt_vs_gt__invoice_no,gpt_vs_gt__date_of_issue,gpt_vs_gt__seller_name,gpt_vs_gt__seller_address,gpt_vs_gt__seller_tax_id,gpt_vs_gt__seller_gstin,gpt_vs_gt__client_name,gpt_vs_gt__client_address,gpt_vs_gt__client_tax_id,gpt_vs_gt__vat_pct,gpt_vs_gt__net_worth,gpt_vs_gt__vat_amount,gpt_vs_gt__gross_worth,gpt_vs_gt__total_net_worth,gpt_vs_gt__total_vat,gpt_vs_gt__total_gross_worth,gpt_vs_gt__item_count_match,gpt_vs_gt__item_field_match_rate,gpt_vs_gt__scalar_match_rate,qwen_vs_gt__invoice_no,qwen_vs_gt__date_of_issue,qwen_vs_gt__seller_name,qwen_vs_gt__seller_address,qwen_vs_gt__seller_tax_id,qwen_vs_gt__seller_gstin,qwen_vs_gt__client_name,qwen_vs_gt__client_address,qwen_vs_gt__client_tax_id,qwen_vs_gt__vat_pct,qwen_vs_gt__net_worth,qwen_vs_gt__vat_amount,qwen_vs_gt__gross_worth,qwen_vs_gt__total_net_worth,qwen_vs_gt__total_vat,qwen_vs_gt__total_gross_worth,qwen_vs_gt__item_count_match,qwen_vs_gt__item_field_match_rate,qwen_vs_gt__scalar_match_rate
invoice_51109301.pdf,ok,ok,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,0.75,0.875,True,True,True,False,True,True,True,False,True,False,True,True,True,True,True,True,True,0.625,0.8125,True,True,True,False,True,True,True,False,True,False,True,True,True,True,True,True,True,0.5416666666666666,0.8125
invoice_51109302.pdf,ok,ok,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,1.0,0.875,True,True,True,False,True,True,False,False,True,False,True,True,True,True,True,True,True,0.7083333333333334,0.75,True,True,True,False,True,True,False,False,True,False,True,True,True,True,True,True,True,0.7083333333333334,0.75
invoice_51109303.pdf,ok,ok,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,0.90625,0.875,True,True,True,False,True,True,True,False,True,False,True,True,True,True,True,True,True,0.71875,0.8125,True,True,True,False,True,True,True,False,True,False,True,True,True,True,True,True,True,0.65625,0.8125
invoice_51109304.pdf,ok,ok,True,True,True,False,True,True,True,False,True,True,True,True,True,False,True,True,True,0.9583333333333334,0.8125,True,True,True,False,True,True,True,False,True,False,False,True,True,True,True,True,True,0.7291666666666666,0.75,True,True,True,False,True,True,True,False,True,False,False,True,True,False,True,True,True,0.6875,0.6875
invoice_51109305.pdf,ok,ok,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,1.0,0.875,True,True,True,False,True,True,True,False,True,False,True,True,True,True,True,True,True,0.6666666666666666,0.8125,True,True,True,False,True,True,True,False,True,False,True,True,True,True,True,True,True,0.6666666666666666,0.8125
invoice_51109306.pdf,ok,ok,True,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,0.875,0.8125,True,True,True,False,True,True,True,False,True,False,True,True,True,True,True,True,True,0.625,0.8125,True,False,True,False,True,True,True,False,True,False,True,True,True,True,True,True,True,0.625,0.75
invoice_51109307.pdf,ok,ok,True,True,True,False,True,True,True,False,True,False,True,True,True,True,True,True,True,0.875,0.8125,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,0.725,0.875,True,True,True,False,True,True,True,False,True,False,True,True,True,True,True,True,True,0.725,0.8125
invoice_51109308.pdf,ok,ok,True,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,0.75,0.8125,True,True,True,False,True,True,True,False,True,False,True,True,True,True,True,True,True,0.6875,0.8125,True,False,True,False,True,True,True,False,True,False,True,True,True,True,True,True,True,0.625,0.75
invoice_51109309.pdf,ok,ok,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,1.0,0.875,True,True,True,False,True,True,True,False,True,False,True,True,True,True,True,True,True,0.625,0.8125,True,True,True,False,True,True,True,False,True,False,True,True,True,True,True,True,True,0.625,0.8125
invoice_51109310.pdf,ok,ok,True,True,True,False,True,True,False,False,True,True,True,True,False,True,True,True,True,0.875,0.75,True,True,True,False,True,True,True,False,True,False,True,True,True,True,True,True,True,0.71875,0.8125,True,True,True,False,True,True,False,False,True,False,True,True,False,True,True,True,True,0.71875,0.6875
